id,file_name,file_url,is_cover,product_variant
7919,P329.939__B_1__287687d352404df98b0179698dd22cc2.jpg,/images/products/P329.939__B_1__287687d352404df98b0179698dd22cc2.jpg,false,781
7920,P329.939__B_2__e495af9a91014431843fd38bf23ffffc.jpg,/images/products/P329.939__B_2__e495af9a91014431843fd38bf23ffffc.jpg,false,781
7921,P329.939__B_4__be4d74bb17084076853ed9831ea4ddb8.jpg,/images/products/P329.939__B_4__be4d74bb17084076853ed9831ea4ddb8.jpg,false,781
7922,P329.939__D_100__ddad0091a80b4f1e88a57fe744e90c9b.jpg,/images/products/P329.939__D_100__ddad0091a80b4f1e88a57fe744e90c9b.jpg,false,781
7923,P329.939__F_250__475285b7e2f94523bc1d94621c752788.jpg,/images/products/P329.939__F_250__475285b7e2f94523bc1d94621c752788.jpg,false,781
7924,P329.939__F_251__8d3b7ba738d748a78d129a5c9ba14fd0.jpg,/images/products/P329.939__F_251__8d3b7ba738d748a78d129a5c9ba14fd0.jpg,false,781
7925,P329.939__P_500__f91dcb44755e40b88e45848dc730d4b1.jpg,/images/products/P329.939__P_500__f91dcb44755e40b88e45848dc730d4b1.jpg,false,781
7926,P329.939__P_501__dea94e9f717b401eb767b2a016d4f8f7.jpg,/images/products/P329.939__P_501__dea94e9f717b401eb767b2a016d4f8f7.jpg,false,781
7927,P329.939__P_502__e8c737d66ee148c790af0e5bddef8d13.jpg,/images/products/P329.939__P_502__e8c737d66ee148c790af0e5bddef8d13.jpg,false,781
7928,P329.939__S_0__800a14b5dbd54d329f42c1f2e03de816.jpg,/images/products/P329.939__S_0__800a14b5dbd54d329f42c1f2e03de816.jpg,true,781
7929,P329.949__B_1__f252373f7e174e18bed55630c8af4c1f.jpg,/images/products/P329.949__B_1__f252373f7e174e18bed55630c8af4c1f.jpg,false,782
7930,P329.949__B_2__6d7fab2f48bc4947b9fbab4b305580ed.jpg,/images/products/P329.949__B_2__6d7fab2f48bc4947b9fbab4b305580ed.jpg,false,782
7931,P329.949__B_4__3c209d5f1b764eacb45c9aad1c817a5d.jpg,/images/products/P329.949__B_4__3c209d5f1b764eacb45c9aad1c817a5d.jpg,false,782
7932,P329.949__B_5__2faa57515ac54fb5a92c08bb3bd3d594.jpg,/images/products/P329.949__B_5__2faa57515ac54fb5a92c08bb3bd3d594.jpg,false,782
7933,P329.949__B_6__316a899d582d49a0b95addb8d35f05a4.jpg,/images/products/P329.949__B_6__316a899d582d49a0b95addb8d35f05a4.jpg,false,782
7934,P329.949__D_100__69d03466b2d44c2d9c5ffceb60353ca6.jpg,/images/products/P329.949__D_100__69d03466b2d44c2d9c5ffceb60353ca6.jpg,false,782
7935,P329.949__M_400__c9953ef701cb4cb1a0ca210170e8a881.jpg,/images/products/P329.949__M_400__c9953ef701cb4cb1a0ca210170e8a881.jpg,false,782
