id,sku,revised_sku,price,stock,color_id,size_id,print_option,print_position,max_print_width,max_print_height,print_area_unit,product_id,bulk_discount_plan_id
1,100804-001,Xbl04-001,10.28,1863,1,,59,1,150,150,mm,1,1
2,100804-410,Xna04-410,10.28,2208,2,,59,1,150,150,mm,1,1
3,100805-001,Xbl05-001,12.88,3955,1,,59,1,100,100,mm,2,2
4,100805-410,Xna05-410,12.88,4485,2,,59,1,100,100,mm,2,2
5,100806-001,Xbl06-001,45.24,2922,1,,59,1,120,120,mm,3,3
6,100806-410,Xna06-410,45.24,2961,2,,59,1,120,120,mm,3,3
7,101032-001,Xbl32-001,14.86,3805,1,,59,1,100,50,mm,4,4
8,101032-410,Xna32-410,14.86,3882,2,,59,1,100,50,mm,4,4
9,101036-001,Xbl36-001,8.98,2981,1,,59,1,220,150,mm,5,5
10,101036-410,Xna36-410,8.98,3796,2,,59,1,220,150,mm,5,5
11,101037-001,Xbl37-001,11.58,3202,1,,59,1,100,40,mm,6,6
12,101037-410,Xna37-410,11.58,837,2,,59,1,100,40,mm,6,6
13,101038-001,Xbl38-001,16.76,0,1,,59,1,200,150,mm,7,7
14,101038-410,Xna38-410,16.76,0,2,,59,1,200,150,mm,7,7
15,101950-001,Abl50-001,25.76,2807,1,,10,4,250,115,mm,8,8
16,101950-119,Awh50-119,25.76,2258,3,,10,4,250,115,mm,8,8
17,101952-001,Abl52-001,21.86,2772,1,,10,4,205,110,mm,9,9
18,101952-119,Awh52-119,21.86,1952,3,,10,4,205,110,mm,9,9
19,102001,Vgr102001,4.38,16875,4,,40,5,25,70,mm,10,10
20,102002,Vtr102002,4.38,6261,5,,40,5,25,70,mm,10,10
21,102004,Vgr102004,4.38,17923,6,,40,5,25,70,mm,10,10
22,102005,Vor102005,4.38,17421,7,,40,5,25,70,mm,10,10
23,102006,Vbl102006,4.38,14359,8,,40,5,25,70,mm,10,10
24,102015,Vbr102015,42.58,4287,9,,18,4,200,120,mm,11,11
25,102016,Vgr102016,42.66,867,4,,18,4,200,120,mm,11,12
26,102017,Vof102017,42.66,2267,10,,18,4,200,120,mm,11,12
27,102018,Vgr102018,42.66,884,6,,18,4,200,120,mm,11,12
28,102019,Vbl102019,42.58,414,8,,18,4,200,120,mm,11,11
29,102055-001,Xbl55-001,10.26,2718,1,,59,1,160,170,mm,12,13
30,10220,Vbr10220,19.28,495,9,,34,11,50,10,mm,13,14
31,102227-001,Abl27-001,24.5,2523,1,,10,4,236,170,mm,14,15
32,102227-119,Awh27-119,24.5,2960,3,,10,4,236,170,mm,14,15
33,102229-001,Abl29-001,25.84,2613,1,,40,2,30,30,mm,15,16
34,102229-119,Awh29-119,25.84,0,3,,40,2,30,30,mm,15,16
35,10223,Vbr10223,19.28,1440,9,,24,12,30,10,mm,16,14
36,10244,Vbr10244,14.64,544,9,,2,13,80,10,mm,17,17
37,103222,Vgr103222,11.28,172,6,,18,14,200,120,mm,18,18
38,1601,Vst1601,38.74,1211,11,,24,12,35,10,mm,19,19
39,1650,Vst1650,32.26,2732,11,,24,12,50,10,mm,20,20
40,1651,Vst1651,19.88,0,11,,24,12,50,10,mm,21,21
41,16510,Vst16510,77.42,829,11,,24,12,60,10,mm,22,22
42,1653,Vst1653,24.58,1674,11,,24,12,30,10,mm,23,23
43,1654,Vst1654,23.18,1213,11,,24,12,50,10,mm,24,24
44,1655,Vst1655,46.18,209,11,,24,12,50,10,mm,25,25
45,16550,Vst16550,77.42,432,11,,24,12,50,10,mm,26,22
46,1657,Vst1657,19.28,1800,11,,24,12,50,10,mm,27,14
47,1658,Vst1658,18.8,730,11,,24,12,50,8,mm,28,26
48,19145004,Vbl145004,64.58,880,8,,,,,,,29,27
49,19145504,Vbe145504,64.58,420,12,,,,,,,29,27
50,19145904,Vgr145904,64.58,479,4,,,,,,,29,27
51,194546,Vbr194546,38.74,1544,9,,18,17,200,120,mm,30,19
52,194548,Vgr194548,38.74,1555,6,,18,17,200,120,mm,30,19
53,194549,Vbl194549,38.74,986,1,,18,17,200,120,mm,30,19
54,194620,Vgr194620,23.18,4810,4,,18,18,120,200,mm,31,28
55,194621,Vgr194621,23.18,4338,6,,18,18,120,200,mm,31,28
56,194622,Vbe194622,23.18,3168,12,,18,18,120,200,mm,31,28
57,21200,Vbr21200,55.36,69,9,,24,20,100,50,mm,32,29
58,21202,Vbr21202,66.36,379,9,,24,20,100,50,mm,33,30
59,21204,Vbr21204,44.22,1,9,,24,20,70,30,mm,34,31
60,21206,Vbr21206,66.36,159,9,,,,,,,35,30
61,21500,Vbl21500,14.36,2633,1,,59,2,160,200,mm,36,32
62,2155,Vbl2155,24.5,3615,1,,11,2,150,150,mm,37,33
63,2156,Vgr2156,24.5,770,6,,11,2,150,150,mm,37,33
64,21560,Vgr21560,14.36,1085,4,,59,2,160,200,mm,36,32
65,2157,Vbl2157,28.36,2342,1,,11,2,170,200,mm,38,34
66,2158,Vna2158,28.36,1202,2,,11,2,170,200,mm,38,34
67,2159,Vbr2159,24.5,816,9,,11,2,150,150,mm,37,33
68,2162,Vgr2162,28.36,949,6,,11,2,170,200,mm,38,34
69,2178,Vbl2178,24.58,1404,1,,59,2,180,150,mm,39,35
70,2179,Vbr2179,24.58,996,9,,59,2,180,150,mm,39,35
71,2190,Vbl2190,12.86,1,1,,59,3,100,80,mm,40,36
72,30710,Vst30710,21.92,2147,11,,24,12,25,15,mm,41,37
73,30711,Vst30711,14.36,681,11,,24,22,40,5,mm,42,38
74,30712,Vst30712,25.76,81,11,,24,12,15,7,mm,43,39
75,30714,Vst30714,38.74,1484,11,,34,11,40,20,mm,44,19
76,31801,Vbr31801,25.76,811,9,,3,24,80,40,mm,45,39
77,3181,Vbr3181,38.74,1414,9,,3,13,70,15,mm,46,19
78,3182,Vbr3182,32.26,1389,9,,3,24,100,80,mm,47,20
79,3183,Vbr3183,29.68,3754,9,,3,24,80,40,mm,48,40
80,3184,Vbr3184,32.26,174,9,,3,24,80,40,mm,49,20
81,3339,Vst3339,8.82,0,11,,24,19,35,15,mm,50,41
82,3373,Vbr3373,33.22,0,9,,24,12,50,10,mm,51,42
83,35301,Vbr35301,5.48,5624,9,,24,16,70,10,mm,52,43
84,3551,Vbe3551,21,516,12,,,,,,,53,44
85,3553,Vbe3553,21,282,12,,,,,,,54,44
86,3559,Vbe3559,21,1726,12,,,,,,,55,44
87,3564,Vbe3564,27.64,989,12,,,,,,,56,45
88,3569,Vbe3569,22.08,236,12,,34,1,40,30,mm,57,46
89,3572,Vbe3572,25.76,2570,12,,3,25,80,80,mm,58,39
90,3576,Vbe3576,16.52,480,12,,,,,,,59,47
91,3661,Vbl3661,21,2053,1,,,,,,,53,44
92,3663,Vbl3663,21,390,1,,,,,,,54,44
93,3679,Vbl3679,22.08,1129,1,,34,1,40,30,mm,57,46
94,3686,Vbl3686,16.52,693,1,,,,,,,59,47
95,3689,Vbl3689,16.52,357,1,,40,1,25,40,mm,60,47
96,3691,Vbl3691,16.52,957,1,,,,,,,61,47
97,3694,Vbl3694,27.64,776,1,,,,,,,56,45
98,3696,Vbe3696,16.52,1330,12,,40,1,25,40,mm,60,47
99,3697,Vbe3697,16.52,330,12,,,,,,,61,47
100,41770,Vgr41770,55.36,365,4,,18,26,80,50,mm,62,29
101,41772,Vgr41772,55.36,57,4,,18,26,80,50,mm,63,29
102,41774,Vwh41774,55.36,347,3,,18,26,80,50,mm,62,29
103,41776,Vwh41776,55.36,339,3,,18,26,80,50,mm,63,29
104,453100,Vwh453100,51.6,2245,3,,,,,,,64,48
105,4721,Vgr4721,12.84,152,6,,59,1,80,80,mm,65,49
106,4723,Vbl4723,12.84,1324,1,,59,1,80,80,mm,65,49
107,4772,Vbr4772,12.84,2479,9,,59,1,80,80,mm,65,49
108,495030,Vgr495030,38.66,631,6,,18,3,200,120,mm,66,50
109,496030,Vgr496030,64.58,453,4,,18,3,200,120,mm,66,27
110,496035,Vgr496035,64.58,743,4,,18,3,200,120,mm,67,27
111,497030,Vna497030,64.58,785,2,,18,3,200,120,mm,66,27
112,497035,Vna497035,64.58,1166,2,,18,3,200,120,mm,67,27
113,500118,Vgr500118,45.24,5454,6,,59,1,80,120,mm,68,3
114,500119,Vbl500119,45.24,12929,1,,59,1,80,120,mm,68,3
115,500120,Vgr500120,45.24,2425,13,,59,1,80,120,mm,68,3
116,500121,Vna500121,45.24,4516,2,,59,1,80,120,mm,68,3
117,500218,Vgr500218,51.6,2980,6,,59,1,100,100,mm,69,48
118,500219,Vbl500219,51.6,7878,1,,59,1,100,100,mm,69,48
119,500220,Vgr500220,51.6,3310,13,,59,1,100,100,mm,69,48
120,500221,Vna500221,51.6,6528,2,,59,1,100,100,mm,69,48
121,500318,Vgr500318,51.6,1918,6,,59,6,150,150,mm,70,48
122,500319,Vbl500319,51.6,4722,1,,59,6,150,150,mm,70,48
123,500320,Vgr500320,51.6,2605,13,,59,6,150,150,mm,70,48
124,500321,Vna500321,51.6,3571,2,,59,6,150,150,mm,70,48
125,500418,Vgr500418,19.34,2478,6,,59,1,120,70,mm,71,51
126,500419,Vbl500419,19.34,1107,1,,59,1,120,70,mm,71,51
127,500420,Vgr500420,19.34,2597,13,,59,1,120,70,mm,71,51
128,500421,Vna500421,19.34,11187,2,,59,1,120,70,mm,71,51
129,500518,Vgr500518,45.1,1284,6,,59,1,100,100,mm,72,52
130,500519,Vbl500519,45.1,1523,1,,59,1,100,100,mm,72,52
131,500520,Vgr500520,45.1,375,13,,59,1,100,100,mm,72,52
132,500521,Vna500521,45.1,1813,2,,59,1,100,100,mm,72,52
133,500718,Vgr500718,42.58,3716,6,,59,1,100,100,mm,73,11
134,500719,Vbl500719,42.58,9426,1,,59,1,100,100,mm,73,11
135,500720,Vgr500720,42.58,3030,13,,59,1,100,100,mm,73,11
136,500721,Vna500721,42.58,9041,2,,59,1,100,100,mm,73,11
137,500819,Vbl500819,25.76,2400,1,,59,1,120,150,mm,74,39
138,500918,Vgr500918,38.74,706,6,,59,1,120,120,mm,75,19
139,500919,Vbl500919,38.74,2762,1,,59,1,120,120,mm,75,19
140,500920,Vgr500920,38.74,287,13,,59,1,120,120,mm,75,19
141,500921,Vna500921,38.74,935,2,,59,1,120,120,mm,75,19
142,501018,Vgr501018,32.26,996,6,,59,1,90,150,mm,76,20
143,501019,Vbl501019,32.26,1348,1,,59,1,90,150,mm,76,20
144,501020,Vgr501020,32.26,2629,13,,59,1,90,150,mm,76,20
145,501021,Vna501021,32.26,1502,2,,59,1,90,150,mm,76,20
146,501118,Vbl501118,64.58,1582,1,,59,1,100,100,mm,77,27
147,501219,Vbl501219,73.72,15,1,,59,29,150,40,mm,78,53
148,501319,Vbl501319,33.22,377,1,,59,1,150,150,mm,79,42
149,501418,Vgr501418,47.76,2050,6,,59,1,100,100,mm,80,54
150,501419,Vbl501419,47.76,4599,1,,59,1,100,100,mm,80,54
151,501420,Vgr501420,47.76,292,13,,59,1,100,100,mm,80,54
152,501421,Vna501421,47.76,3204,2,,59,1,100,100,mm,80,54
153,501618,Vgr501618,25.76,0,6,,59,1,180,140,mm,81,39
154,501619,Vbl501619,25.76,4811,1,,59,1,180,140,mm,81,39
155,501620,Vgr501620,25.76,363,13,,59,1,180,140,mm,81,39
156,501621,Vna501621,25.76,6116,2,,59,1,180,140,mm,81,39
157,501719,Vbl501719,44.22,919,1,,59,30,100,100,mm,82,31
158,501818,Vgr501818,51.6,1549,6,,59,30,50,150,mm,83,48
159,501819,Vbl501819,51.6,13498,1,,59,30,50,150,mm,83,48
160,501820,Vgr501820,51.6,7176,13,,59,30,50,150,mm,83,48
161,501821,Vna501821,51.6,7286,2,,59,30,50,150,mm,83,48
162,501918,Vgr501918,24.5,1066,6,,59,1,150,100,mm,84,33
163,501919,Vbl501919,24.5,5740,1,,59,1,150,100,mm,84,33
164,501920,Vgr501920,24.5,1472,13,,59,1,150,100,mm,84,33
165,501921,Vna501921,24.5,8306,2,,59,1,150,100,mm,84,33
166,502018,Vgr502018,3.82,1722,6,,2,1,55,15,mm,85,55
167,502019,Vbl502019,3.82,4306,1,,2,1,55,15,mm,85,55
168,502020,Vgr502020,3.82,3973,13,,2,1,55,15,mm,85,55
169,502021,Vna502021,3.82,4787,2,,2,1,55,15,mm,85,55
170,5030,Vwh5030,18.02,3968,3,,25,1,30,110,mm,86,56
171,5031,Vst5031,18.02,4615,11,,25,1,30,110,mm,86,56
172,5032,Vbl5032,18.02,7758,1,,25,1,30,110,mm,86,56
173,5033,Vna5033,18.02,7282,2,,25,1,30,110,mm,86,56
174,5036,Vgr5036,18.02,3865,6,,25,1,30,110,mm,86,56
175,5039,Vgr5039,18.02,2729,13,,25,1,30,110,mm,86,56
176,5042,Vbl5042,16.76,5699,8,,40,5,25,80,mm,87,7
177,5043,Vli5043,16.76,3053,14,,40,5,25,80,mm,87,7
178,5044,Vgr5044,16.76,3245,6,,40,5,25,80,mm,87,7
179,50440,Vst50440,25.76,59,11,,25,10,55,55,mm,88,39
180,5046,Vwh5046,16.76,6975,3,,40,5,25,80,mm,87,7
181,5047,Vgr5047,16.76,3317,4,,40,5,25,80,mm,87,7
182,5048,Vst5048,16.76,6972,11,,40,5,25,80,mm,87,7
183,5052,Vbl5052,16.76,949,1,,40,5,25,80,mm,87,7
184,5053,Vbe5053,16.76,1441,12,,40,5,25,80,mm,87,7
185,5054,Vst5054,24.5,770,11,,25,5,35,110,mm,89,33
186,5058,Vbl5058,24.5,3293,1,,25,5,35,110,mm,89,33
187,5059,Vye5059,16.76,2510,15,,40,5,25,80,mm,87,7
188,5062,Vst5062,18.08,5,11,,9,4,212,110,mm,90,57
189,5063,Vgr5063,18.08,2801,13,,9,4,212,110,mm,90,57
190,5064,Vbl5064,18.08,10783,1,,9,4,212,110,mm,90,57
191,5066,Vwh5066,18.08,7316,3,,9,4,212,110,mm,90,57
192,5068,Vna5068,18.08,804,2,,9,4,212,110,mm,90,57
193,5069,Vgr5069,18.08,0,6,,9,4,212,110,mm,90,57
194,50830,Vpi50830,6.38,103,16,,40,5,25,70,mm,91,58
195,50831,Vna50831,6.38,13347,2,,40,5,25,70,mm,91,58
196,50832,Van50832,6.38,4399,17,,40,5,25,70,mm,91,58
197,50833,Vre50833,6.38,4159,18,,40,5,25,70,mm,91,58
198,50846,Vor50846,6.38,5754,7,,40,5,25,70,mm,91,58
199,50847,Vtr50847,6.38,3791,5,,40,5,25,70,mm,91,58
200,50848,Vli50848,6.38,4592,19,,40,5,25,70,mm,91,58
201,50849,Vbl50849,6.38,1605,8,,40,5,25,70,mm,91,58
202,50862,Vye50862,6.38,463,15,,40,5,25,70,mm,91,58
203,50863,Vgr50863,6.38,23238,6,,40,5,25,70,mm,91,58
204,50950,Vbl50950,12.88,6258,1,,40,5,25,70,mm,92,2
205,50951,Vwh50951,12.88,3737,3,,40,5,25,70,mm,92,2
206,50953BK,Vsi0953BK,10.14,32,20,,40,5,25,70,mm,92,59
207,50953DB,Vna0953DB,10.14,800,2,,40,5,25,70,mm,92,59
208,50953G,Vli50953G,10.14,310,19,,40,5,25,70,mm,92,59
209,50960G,Vli50960G,8.34,1194,19,,40,5,25,70,mm,93,60
210,50960R,Vre50960R,8.34,1057,18,,40,5,25,70,mm,93,60
211,50961,Vbl50961,11.56,6764,1,,40,2,25,40,mm,94,61
212,50962,Vgr50962,11.56,2,4,,40,2,25,40,mm,94,61
213,51101,Vgr51101,38.68,6110,4,,59,,120,80,mm,95,62
214,51102,Vbl51102,38.68,3482,8,,59,,120,80,mm,95,62
215,51103,Vbl51103,38.68,1423,1,,59,,120,80,mm,95,62
216,51202,Vbl51202,36.16,0,8,,59,6,180,60,mm,96,63
217,51203,Vbl51203,36.16,5469,1,,59,6,180,60,mm,96,63
218,5124,Vbl5124,23.18,1720,1,,34,1,50,4,mm,97,24
219,51311,Vgr51311,36.16,2493,4,,59,1,150,150,mm,98,63
220,51312,Vbl51312,36.16,1943,8,,59,1,150,150,mm,98,63
221,51313,Vbl51313,36.16,2010,1,,59,1,150,150,mm,98,63
222,51321,Vgr51321,23.18,5895,4,,59,1,100,100,mm,99,24
223,51322,Vbl51322,23.18,4268,8,,59,1,100,100,mm,99,24
224,51323,Vbl51323,23.18,5860,1,,59,1,100,100,mm,99,24
225,51331,Vgr51331,23.18,2024,4,,59,,120,80,mm,100,28
226,51332,Vbl51332,23.18,3156,8,,59,,120,80,mm,100,28
227,51333,Vbl51333,23.18,1432,1,,59,,120,80,mm,100,28
228,51341,Vgr51341,25.76,138,4,,59,1,120,120,mm,101,39
229,51342,Vbl51342,25.76,390,8,,59,1,120,120,mm,101,39
230,51343,Vbl51343,25.76,766,1,,59,1,120,120,mm,101,39
231,514003,Vbl514003,35.66,1263,1,,59,6,80,80,mm,102,64
232,515001,Vgr515001,32.26,1324,4,,59,1,70,60,mm,103,20
233,515002,Vbl515002,32.26,1954,8,,59,1,70,60,mm,103,20
234,515003,Vbl515003,32.26,992,1,,59,1,70,60,mm,103,20
235,517001,Vgr517001,38.68,2621,4,,59,1,100,150,mm,104,62
236,517002,Vbl517002,38.68,1272,8,,59,1,100,150,mm,104,62
237,517003,Vbl517003,38.68,1760,1,,59,1,100,150,mm,104,62
238,5180,Vbl5180,34.84,5113,1,,59,2,120,50,mm,105,65
239,518001,Vgr518001,19.28,2013,4,,59,1,80,60,mm,106,14
240,518002,Vbl518002,19.28,2523,8,,59,1,80,60,mm,106,14
241,518003,Vbl518003,19.28,5594,1,,59,1,80,60,mm,106,14
242,519001,Vgr519001,16.58,1910,4,,59,10,100,60,mm,107,66
243,519002,Vbl519002,16.58,1550,8,,59,10,100,60,mm,107,66
244,519003,Vbl519003,16.58,2702,1,,59,10,100,60,mm,107,66
245,52101,Vgr52101,38.74,1095,4,,59,6,150,100,mm,108,19
246,521018,Vgr521018,51.66,2585,6,,11,34,80,120,mm,109,67
247,521019,Vbl521019,51.66,3420,1,,11,34,80,120,mm,109,67
248,52102,Vbl52102,38.74,2795,8,,59,6,150,100,mm,108,19
249,521020,Vbe521020,51.66,131,12,,11,34,80,120,mm,109,67
250,521021,Vna521021,51.66,1985,2,,11,34,80,120,mm,109,67
251,52103,Vbl52103,38.74,1758,1,,59,6,150,100,mm,108,19
252,522019,Vbl522019,64.58,517,8,,59,1,250,180,mm,110,27
253,522218,Vgr522218,60.66,1446,6,,59,1,100,150,mm,111,68
254,522219,Vbl522219,60.66,2392,1,,59,1,100,150,mm,111,68
255,522220,Vbe522220,60.66,0,12,,59,1,100,150,mm,111,68
256,522221,Vna522221,60.66,2045,2,,59,1,100,150,mm,111,68
257,522318,Vgr522318,51.6,1914,6,,11,1,100,100,mm,112,48
258,522319,Vbl522319,51.6,1336,1,,11,1,100,100,mm,112,48
259,522320,Vbe522320,51.6,1070,12,,11,1,100,100,mm,112,48
260,522321,Vna522321,51.6,1782,2,,11,1,100,100,mm,112,48
261,522418,Vgr522418,19.34,1347,6,,11,1,130,100,mm,113,51
262,522419,Vbl522419,19.34,2832,1,,11,1,130,100,mm,113,51
263,522420,Vbe522420,19.34,2913,12,,11,1,130,100,mm,113,51
264,522421,Vna522421,19.34,1934,2,,11,1,130,100,mm,113,51
265,523019,Vbr523019,64.58,1599,9,,59,1,250,180,mm,110,27
266,526019,Vbr526019,19.34,2517,9,,59,3,120,60,mm,114,51
267,527019,Vbl527019,0,0,8,,59,3,120,60,mm,114,
268,528019,Vbr528019,32.08,989,9,,59,1,200,120,mm,115,69
269,528020,Vbl528020,32.08,447,8,,59,1,200,120,mm,115,69
270,528119,Vbr528119,19.34,1327,9,,59,1,200,150,mm,116,51
271,5510,Vst5510,24.5,1024,11,,59,36,150,200,mm,117,33
272,5580,Vgr5580,34.84,1195,6,,59,2,120,50,mm,105,65
273,560105,Vgr560105,64.58,177,4,,59,1,100,150,mm,118,27
274,560121,Vbr560121,51.66,2327,9,,59,1,120,70,mm,119,67
275,560125,Vgr560125,51.66,1043,4,,59,1,120,70,mm,119,67
276,560141,Vbr560141,16.58,1485,9,,59,1,120,70,mm,120,66
277,560161,Vbr560161,22.08,611,9,,59,1,120,80,mm,121,46
278,60021,Vbl60021,8.98,2,1,,18,37,140,140,mm,122,5
279,60022,Vbl60022,16.76,1811,1,,18,4,70,50,mm,123,7
280,60023,Vgr60023,8.98,2012,4,,18,37,140,140,mm,122,5
281,60024,Vgr60024,16.76,3067,4,,18,4,70,50,mm,123,7
282,60025,Vbl60025,8.98,3126,8,,18,37,140,140,mm,122,5
283,60026,Vbl60026,16.76,3060,8,,18,4,70,50,mm,123,7
284,8046,Vre8046,45.1,873,18,,18,14,200,120,mm,124,52
285,8052,Vna8052,45.1,701,2,,18,14,200,120,mm,124,52
286,8053,Vbl8053,45.1,0,1,,18,14,200,120,mm,124,52
287,8055,Vgr8055,30.94,1158,6,,18,14,200,120,mm,125,70
288,8064,Vna8064,47.76,0,2,,18,14,200,120,mm,125,54
289,8067,Vbe8067,30.94,2388,12,,18,14,200,120,mm,125,70
290,81999,Vbl81999,28.36,1421,1,,,,,,,126,34
291,91500,Vbl91500,18.74,0,1,,34,11,30,30,mm,127,71
292,9152,Vgr9152,11.58,0,6,,34,11,60,30,mm,128,6
293,9154,Vna9154,8.98,2512,2,,34,11,60,30,mm,129,72
294,9155,Vbl9155,4.38,4839,8,,34,11,30,30,mm,130,10
295,9160,Vbr9160,11.26,734,9,,34,11,80,40,mm,131,73
296,9162,Vof9162,11.28,375,10,,34,11,30,10,mm,132,18
297,B4500102,Vwh500102,5.5,637,3,,18,14,120,120,mm,133,74
298,B4500103,Vwh500103,20.66,1430,3,,18,14,120,120,mm,134,75
299,B4500104,Vwh500104,25.76,1432,3,,18,14,120,120,mm,135,39
300,B4500202,Vbe500202,5.5,1447,12,,18,14,120,120,mm,133,74
301,B4500203,Vbe500203,20.66,2519,12,,18,14,120,120,mm,134,75
302,B4500204,Vbe500204,25.76,1912,12,,18,14,120,120,mm,135,39
303,B4500301,Vbl500301,4.26,384,8,,18,14,120,120,mm,136,76
304,B4500303,Vbl500303,20.66,954,8,,18,14,120,120,mm,134,75
305,B4500304,Vbl500304,25.76,394,8,,18,14,120,120,mm,135,39
306,B4500902,Vbl500902,5.5,811,1,,18,14,120,120,mm,133,74
307,B4500903,Vbl500903,20.66,2846,1,,18,14,120,120,mm,134,75
308,B4500904,Vbl500904,25.76,426,1,,18,14,120,120,mm,135,39
309,B4501301,Vgr501301,0,0,4,,18,14,120,120,mm,136,
310,B4501302,Vgr501302,0,0,4,,18,14,120,120,mm,133,
311,B4501303,Vgr501303,20.66,2046,4,,18,14,120,120,mm,134,75
312,B4501304,Vgr501304,25.76,944,4,,18,14,120,120,mm,135,39
313,B4501901,Vgr501901,4.26,459,6,,18,14,120,120,mm,136,76
314,B4501902,Vgr501902,5.5,1969,6,,18,14,120,120,mm,133,74
315,B4501903,Vgr501903,20.66,3239,6,,18,14,120,120,mm,134,75
316,P110.023,Xwh10.023,1.04,45887,3,,46,10,35,35,mm,137,77
317,P110.033,Xwh10.033,1.92,3563,3,,2,10,35,35,mm,138,78
318,P112.003,Xwh12.003,2.58,13429,3,,46,4,35,17,mm,139,79
319,P112.032,Xsi12.032,4.38,5415,21,,34,4,25,15,mm,140,80
320,P112.052,Xsi12.052,7.3,5467,21,,34,4,35,15,mm,141,81
321,P112.101,Xbl12.101,3.86,4835,1,,13,1,36,31,mm,142,82
322,P112.106,Xye12.106,2.22,15606,15,,13,1,36,31,mm,142,83
323,P112.111,Xbl12.111,5.48,3225,1,,13,1,42,34,mm,143,43
324,P112.116,Xye12.116,4.14,22263,15,,13,1,42,34,mm,143,84
325,P112.121,Xbl12.121,4.38,491,1,,13,1,32,32,mm,144,80
326,P112.126,Xye12.126,3.28,2141,15,,13,1,32,32,mm,144,85
327,P112.131,Xbl12.131,7.1,856,1,,13,1,39,39,mm,145,86
328,P112.136,Xye12.136,4.38,4977,15,,13,1,39,39,mm,145,87
329,P112.141,Xgr12.141,5.16,4205,4,,13,1,36,36,mm,146,88
330,P112.151,Xgr12.151,7.68,19056,4,,13,1,39,39,mm,147,89
331,P112.161,Xbl12.161,5.16,13888,1,,13,1,47,23,mm,148,90
332,P112.171,Xbl12.171,7.68,19916,1,,13,1,55,29,mm,149,91
333,P112.181,Xbl12.181,11.56,790,1,,13,1,65,33,mm,150,61
334,P112.191,Xbl12.191,8.98,9954,1,,2,1,40,40,mm,151,5
335,P112.193,Xwh12.193,8.98,3782,3,,2,1,40,40,mm,151,5
336,P112.402,Xsi12.402,5.62,167,21,,24,1,110,9,mm,152,92
337,P112.602,Xgr12.602,4.14,60,4,,34,1,30,10,mm,153,93
338,P113.201,Gbl13.201,12.86,5770,1,,13,1,40,24,mm,154,36
339,P113.211,Gbl13.211,90.4,1514,1,,34,1,20,10,mm,155,94
340,P113.261,Xbl13.261,5.16,10064,1,,13,1,44,44,mm,156,95
341,P113.401,Xbl13.401,10.02,2080,1,,13,1,45,38,mm,157,96
342,P113.501,Gbl13.501,58.08,1912,1,,34,3,15,40,mm,158,97
343,P113.554,Xre13.554,8.4,12058,18,,34,4,35,20,mm,159,98
344,P113.652,Xgr13.652,7.68,1655,4,,34,4,20,20,mm,160,99
345,P115.652,Xsi15.652,11.56,0,21,,24,4,40,30,mm,161,61
346,P165.132,Xsi65.132,4.52,15106,21,,34,4,90,6,mm,162,100
347,P165.142,Xsi65.142,2.64,110,21,,34,4,80,6,mm,163,101
348,P165.509,Xbr65.509,1.42,12201,9,,2,1,100,20,mm,164,102
349,P191.6002,Xsi1.6002,1.78,17768,21,,23,1,32,6,mm,165,103
350,P191.6102,Xsi1.6102,1.78,7204,21,,23,1,35,10,mm,166,103
351,P191.6202,Xsi1.6202,1.78,16306,21,,23,1,28,28,mm,167,103
352,P191.6302,Xsi1.6302,1.54,12001,21,,23,1,22,35,mm,168,104
353,P191.6401,Xbl1.6401,2.52,5847,1,,23,1,14,30,mm,169,105
354,P191.6501,Xbl1.6501,1.62,9900,1,,46,1,15,25,mm,170,106
355,P191.6503,Xwh1.6503,1.62,34076,3,,46,1,15,25,mm,170,106
356,P191.6505,Xbl1.6505,1.62,10792,8,,46,1,15,25,mm,170,106
357,P191.6602,Xsi1.6602,2,4176,21,,23,1,17,30,mm,171,107
358,P191.6709,Xsi1.6709,2,7227,21,,1,1,30,30,mm,172,107
359,P191.6809,Xsi1.6809,2,28840,21,,1,1,20,35,mm,173,107
360,P191.6909,Xsi1.6909,2,21019,21,,1,1,25,20,mm,174,107
361,P191.7002,Xsi1.7002,2.52,22496,21,,23,4,25,10,mm,175,105
362,P191.7102,Xsi1.7102,2.68,42,21,,23,4,15,15,mm,176,108
363,P191.7201,Xbl1.7201,0.44,46344,1,,23,1,35,7,mm,177,109
364,P191.7202,Xsi1.7202,0.44,64943,21,,23,1,35,7,mm,177,109
365,P191.7204,Xre1.7204,0.44,10285,18,,23,1,35,7,mm,177,109
366,P191.7205,Xbl1.7205,0.44,26667,8,,23,1,35,7,mm,177,109
367,P191.7207,Xgr1.7207,0.44,23413,6,,23,1,35,7,mm,177,109
368,P191.7302,Xgr1.7302,1.78,13835,4,,46,1,23,23,mm,178,103
369,P191.7303,Xwh1.7303,1.78,37188,3,,46,1,23,23,mm,178,103
370,P191.7306,Xye1.7306,1.78,7634,15,,46,1,23,23,mm,178,103
371,P215.041,Xbl15.041,3.32,14453,1,,23,2,15,5,mm,179,110
372,P215.152,Xgr15.152,1.1,23234,4,,34,4,30,5,mm,180,111
373,P215.156,Xye15.156,1.1,13483,15,,34,4,30,5,mm,180,111
374,P215.166,Xye15.166,1.84,3448,15,,34,3,20,5,mm,181,112
375,P215.176,Xye15.176,3.28,5083,15,,34,3,70,10,mm,182,113
376,P221.009,Xbr21.009,2.32,1163,9,,1,38,100,5,mm,183,114
