id,print_bulk_discount_plan_id,quantity,value,vdp,net
153,17,10000,4.2,0.5,2.1
154,18,1,11.56,0.5,5.78
155,18,50,10.5,0.5,5.25
156,18,100,9.46,0.5,4.73
157,18,250,8.4,0.5,4.2
158,18,500,7.34,0.5,3.67
159,18,1000,6.3,0.5,3.15
160,18,2500,6.3,0.5,3.15
161,18,5000,6.3,0.5,3.15
162,18,10000,6.3,0.5,3.15
163,19,1,10.32,0.5,5.16
164,19,50,8.02,0.5,4.01
165,19,100,6.86,0.5,3.43
166,19,250,6.38,0.5,3.19
167,19,500,5.84,0.5,2.92
168,19,1000,5.34,0.5,2.67
169,19,2500,5.34,0.5,2.67
170,19,5000,5.34,0.5,2.67
171,19,10000,5.34,0.5,2.67
172,20,1,12.46,0.5,6.23
173,20,50,10.4,0.5,5.2
174,20,100,8.9,0.5,4.45
175,20,250,8.12,0.5,4.06
176,20,500,7.78,0.5,3.89
177,20,1000,7.26,0.5,3.63
178,20,2500,7.26,0.5,3.63
179,20,5000,7.26,0.5,3.63
180,20,10000,7.26,0.5,3.63
181,21,1,4.54,0.5,2.27
182,21,50,2.9,0.5,1.45
183,21,100,2.22,0.5,1.11
184,21,250,2.1,0.5,1.05
185,21,500,1.94,0.5,0.97
186,21,1000,1.54,0.5,0.77
187,21,2500,1.44,0.5,0.72
188,21,5000,1.34,0.5,0.67
189,21,10000,1.34,0.5,0.67
190,22,1,5.02,0.5,2.51
191,22,50,3.36,0.5,1.68
192,22,100,2.9,0.5,1.45
193,22,250,2.74,0.5,1.37
194,22,500,2.44,0.5,1.22
195,22,1000,2.22,0.5,1.11
196,22,2500,1.98,0.5,0.99
197,22,5000,1.78,0.5,0.89
198,22,10000,1.78,0.5,0.89
199,23,1,4.62,0.5,2.31
200,23,50,4,0.5,2
201,23,100,3.78,0.5,1.89
202,23,250,3.36,0.5,1.68
203,23,500,2.64,0.5,1.32
204,23,1000,2.52,0.5,1.26
205,23,2500,2.44,0.5,1.22
206,23,5000,2.3,0.5,1.15
207,23,10000,2.22,0.5,1.11
